Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Length,Width,Depth,Price,Data Url
1774231,EMERALD,0.3,8,12,5,5,4,0,4.5,3.29,2.16,822.73,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-338/
1783741,EMERALD,0.4,7,10,5,5,3,0,5.03,3.58,2.34,868.03,https://capitalwholesalediamonds.com/product/0-4-ct-emerald-358/
1669519,EMERALD,0.58,4,8,4,3,4,1,5.42,4.08,2.75,824.15,https://capitalwholesalediamonds.com/product/0-58-ct-emerald-7/
1785121,EMERALD,0.3,5,17,5,4,4,2,4.69,3.29,2.03,868.32,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-531/
1531980,EMERALD,0.52,8,7,5,5,5,0,5.78,3.72,2.44,825.06,https://capitalwholesalediamonds.com/product/0-52-ct-emerald-63/
1785122,EMERALD,0.3,5,17,4,4,3,1,4.71,3.05,2.06,868.32,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-533/
1798621,EMERALD,0.31,5,13,5,4,3,0,4.85,3.15,2.05,825.78,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-154/
1781324,EMERALD,0.3,7,12,5,5,4,0,4.63,3.23,2.23,868.37,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-344/
1799907,EMERALD,0.3,6,12,5,5,5,0,4.9,3.16,1.96,827.27,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-348/
1799926,EMERALD,0.29,6,17,3,4,3,0,4.31,3.26,2.22,869.3,https://capitalwholesalediamonds.com/product/0-29-ct-emerald-10/
1795774,EMERALD,0.32,8,12,4,5,3,1,4.88,3.29,2.13,828.02,https://capitalwholesalediamonds.com/product/0-32-ct-emerald-93/
1785125,EMERALD,0.3,5,14,4,4,3,1,4.44,3.21,2.2,870.35,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-315/
1793135,EMERALD,0.3,4,16,4,5,3,0,4.48,3.3,2.21,829.32,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-154/
1785124,EMERALD,0.3,5,15,4,4,3,0,4.59,3.31,2.07,871.87,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-268/
1799788,EMERALD,0.41,6,9,5,5,4,2,5.34,3.49,2.24,834.12,https://capitalwholesalediamonds.com/product/0-41-ct-emerald-150/
1799871,EMERALD,0.3,7,12,4,4,4,0,4.77,3.17,1.98,874.44,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-343/
1791764,EMERALD,0.3,5,15,4,3,3,0,4.39,3.46,2.04,835.37,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-265/
1783806,EMERALD,0.3,6,14,3,5,3,0,4.26,3.24,2.3,875.99,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-303/
1781336,EMERALD,0.3,5,16,5,4,3,0,4.51,3.33,2.31,837.46,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-149/
1782707,EMERALD,0.33,10,12,5,4,3,0,4.98,3.2,2.12,876.25,https://capitalwholesalediamonds.com/product/0-33-ct-emerald-63/
1782727,EMERALD,0.3,8,12,5,5,4,0,4.62,3.22,2.12,837.92,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-339/
1779820,EMERALD,0.3,6,15,3,4,3,0,4.31,3.26,2.26,876.52,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-252/
1763943,EMERALD,0.38,6,12,5,5,3,0,4.9,3.61,2.37,838.31,https://capitalwholesalediamonds.com/product/0-38-ct-emerald-10/
1791060,EMERALD,0.3,5,17,4,4,2,0,4.33,3.16,2.21,876.52,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-527/
1793122,EMERALD,0.3,7,12,4,5,4,0,4.48,3.38,2.2,838.92,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-342/
1750231,EMERALD,0.31,8,17,5,3,3,1,4.63,3.53,2.16,876.6,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-179/
1782708,EMERALD,0.3,10,12,5,5,4,0,4.48,3.3,2.17,842.48,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-336/
1763939,EMERALD,0.31,6,16,5,5,4,2,4.72,3.21,2.17,877.13,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-64/
1799825,EMERALD,0.38,8,11,5,3,3,1,5.02,3.78,2.47,844.7,https://capitalwholesalediamonds.com/product/0-38-ct-emerald-12/
1763935,EMERALD,0.3,6,17,3,4,2,0,4.58,3.11,2.19,877.45,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-492/
1781341,EMERALD,0.34,5,13,5,5,3,0,4.65,3.41,2.3,847.15,https://capitalwholesalediamonds.com/product/0-34-ct-emerald-36/
