Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Length,Width,Depth,Price,Data Url
1791758,EMERALD,0.3,6,15,4,4,3,0,4.59,3.15,2.12,942.88,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-255/
1785102,EMERALD,0.3,7,14,5,5,3,0,4.59,3.33,2.07,942.88,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-292/
1778507,EMERALD,0.4,7,11,4,5,3,1,5.22,3.34,2.33,943.05,https://capitalwholesalediamonds.com/product/0-4-ct-emerald-354/
1793127,EMERALD,0.3,6,16,5,4,3,1,4.51,3.25,2.04,943.43,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-106/
1783796,EMERALD,0.3,6,16,4,5,3,0,4.49,3.36,2.19,943.43,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-110/
1783798,EMERALD,0.3,6,16,3,5,4,0,4.47,3.18,2.21,943.43,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-120/
1791753,EMERALD,0.3,6,16,4,4,3,0,4.63,3.16,2,943.43,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-135/
1793129,EMERALD,0.3,6,16,5,4,4,2,4.46,3.33,2.08,943.43,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-147/
1772547,EMERALD,0.3,7,17,5,5,3,1,4.87,3.08,1.93,943.87,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-437/
1775233,EMERALD,0.3,7,17,5,5,4,1,4.55,3.34,2.11,943.87,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-467/
1743904,EMERALD,0.3,6,17,5,5,4,0,4.77,3.13,2.06,943.92,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-508/
1799843,EMERALD,0.3,7,17,4,4,3,0,4.61,3.37,2.05,944.88,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-427/
1795779,EMERALD,0.3,7,17,4,3,2,0,4.42,3.34,2.14,944.88,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-457/
1800650,EMERALD,0.3,7,17,4,5,3,0,4.49,3.3,2.13,944.88,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-478/
1789064,EMERALD,0.31,7,14,4,5,4,1,4.33,3.27,2.27,945.76,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-129/
1789062,EMERALD,0.32,7,15,4,5,3,1,4.88,3.14,2.05,945.91,https://capitalwholesalediamonds.com/product/0-32-ct-emerald-56/
1769546,EMERALD,0.3,7,16,5,5,3,0,4.46,3.23,2.07,945.94,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-78/
1745108,EMERALD,0.31,7,16,5,5,3,0,4.72,3.26,2.15,946.3,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-41/
1799917,EMERALD,0.31,5,16,5,3,3,0,4.59,3.23,2.17,946.32,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-78/
1799899,EMERALD,0.3,6,15,5,5,3,0,4.57,3.31,2.15,946.42,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-254/
1799902,EMERALD,0.3,6,15,3,5,4,0,4.28,3.44,2.29,946.42,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-258/
1799915,EMERALD,0.3,5,17,5,4,3,0,4.4,3.21,2.17,946.42,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-520/
1799914,EMERALD,0.3,5,17,5,3,3,0,4.67,3.22,2.12,946.42,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-529/
1795792,EMERALD,0.3,6,16,4,5,3,1,4.94,3.15,1.89,946.43,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-107/
1781335,EMERALD,0.33,5,16,5,4,2,0,4.85,3.3,2.02,946.47,https://capitalwholesalediamonds.com/product/0-33-ct-emerald-32/
1638197,EMERALD,0.59,4,10,5,5,4,0,5.47,4.02,2.74,946.73,https://capitalwholesalediamonds.com/product/0-59-ct-emerald-38/
1781329,EMERALD,0.3,6,15,4,5,4,0,4.35,3.27,2.15,946.94,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-251/
1771194,EMERALD,0.3,8,17,4,4,3,0,4.36,3.24,2.15,947.45,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-401/
1773506,EMERALD,0.3,6,17,4,5,4,0,4.79,3.19,1.99,947.95,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-519/
1766907,EMERALD,0.3,6,16,5,5,3,0,4.48,3.31,2.07,947.99,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-108/
1794409,EMERALD,0.31,6,16,4,4,3,1,4.53,3.43,2.21,948.41,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-69/
1782719,EMERALD,0.3,9,13,5,4,4,0,4.56,3.33,2.14,948.44,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-321/
1771222,EMERALD,0.3,7,14,5,5,4,1,4.65,3.16,2.03,949,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-288/
1793116,EMERALD,0.3,7,16,5,4,3,1,4.54,3.16,2.14,949.02,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-68/
1793117,EMERALD,0.3,7,16,4,4,3,0,4.5,3.26,2.18,949.02,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-71/
1779811,EMERALD,0.3,7,16,4,5,3,0,4.61,3.24,2.16,949.02,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-75/
1787844,EMERALD,0.3,6,17,4,4,3,0,4.46,3.52,2.19,949.02,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-493/
1795788,EMERALD,0.31,7,14,5,5,3,1,4.82,3.19,2.03,949.43,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-132/
1800644,EMERALD,0.31,8,13,4,5,3,0,4.39,3.32,2.29,949.43,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-143/
1782728,EMERALD,0.3,7,17,5,4,3,0,4.54,3.31,2.21,949.44,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-420/
1777424,EMERALD,0.31,7,16,4,5,3,0,4.77,3.23,2.1,949.48,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-52/
1763920,EMERALD,0.3,7,17,5,5,3,0,4.9,3.14,1.98,949.95,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-444/
1789071,EMERALD,0.31,6,13,5,5,3,0,4.81,3.11,2.01,949.95,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-152/
1777418,EMERALD,0.3,8,17,4,4,2,0,4.7,3.32,2.02,950.02,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-405/
1771228,EMERALD,0.31,6,17,5,5,3,0,4.59,3.38,2.24,950.47,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-217/
1782726,EMERALD,0.31,8,13,5,4,3,0,4.84,3.11,2.11,950.49,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-144/
1787852,EMERALD,0.31,5,16,5,4,4,0,4.46,3.3,2.25,950.51,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-79/
1737066,EMERALD,0.32,7,15,5,5,4,0,4.6,3.41,2.23,950.78,https://capitalwholesalediamonds.com/product/0-32-ct-emerald-60/
1799830,EMERALD,0.33,7,17,5,3,2,2,4.54,3.47,2.19,950.91,https://capitalwholesalediamonds.com/product/0-33-ct-emerald-80/
1791756,EMERALD,0.3,6,15,5,5,3,0,4.64,3.18,2.08,950.98,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-240/
1791757,EMERALD,0.3,6,15,5,4,3,0,4.95,3.14,2.04,950.98,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-259/
1772556,EMERALD,0.3,6,17,5,4,3,0,4.48,3.38,2.23,951.05,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-513/
1791742,EMERALD,0.32,8,16,3,4,3,0,4.27,3.48,2.33,951.27,https://capitalwholesalediamonds.com/product/0-32-ct-emerald-21/
1799822,EMERALD,0.33,8,13,5,3,3,0,4.69,3.25,2.39,951.5,https://capitalwholesalediamonds.com/product/0-33-ct-emerald-59/
1761613,EMERALD,0.31,7,16,5,5,3,0,4.58,3.44,2.23,951.57,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-47/
1771227,EMERALD,0.32,6,17,4,4,3,1,4.68,3.12,2.23,951.84,https://capitalwholesalediamonds.com/product/0-32-ct-emerald-141/
1787836,EMERALD,0.3,7,17,4,4,4,1,4.76,3.03,2.01,951.98,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-422/
1789869,EMERALD,0.3,7,17,4,5,3,0,4.64,3.11,2.1,951.98,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-428/
1791042,EMERALD,0.3,7,17,4,5,4,1,4.86,3.11,2.01,951.98,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-434/
1789867,EMERALD,0.3,7,17,4,5,3,0,4.47,3.3,2.2,951.98,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-476/
1789063,EMERALD,0.3,7,15,5,4,3,0,4.54,3.28,2.21,951.99,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-196/
1786535,EMERALD,0.3,8,14,5,5,4,1,4.52,3.3,2.2,951.99,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-276/
1795783,EMERALD,0.3,7,16,4,4,4,1,4.5,3.16,2.22,952.01,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-98/
1799849,EMERALD,0.3,7,16,4,4,3,0,4.64,3.08,2.15,952.01,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-100/
1765020,EMERALD,0.3,6,17,5,5,4,0,4.65,3.24,2.1,952.01,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-505/
1737060,EMERALD,0.31,8,17,4,4,3,0,4.63,3.41,2.23,952.1,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-182/
1761610,EMERALD,0.3,8,16,5,5,3,0,4.4,3.25,2.14,952.48,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-31/
