Id,Shape,Weight,Clarity,Colour,Cut,Polish,Syetry,Fluorescence,Length,Width,Depth,Price,Data Url
 LG200400,RADIANT,0.72,7,16,5,5,5,0,5.63,4.49,3.07,"1,624.71",https://capitalwholesalediamonds.com/product/0-72-ct-radiant/
200684-437,RADIANT,1.01,4,8,5,5,4,0,6.16,5.03,3.45,"1,640.54",https://capitalwholesalediamonds.com/product/1-01-ct-radiant-10/
442072099,RADIANT,0.76,7,16,5,5,5,0,5.77,5.79,3.64,"1,647.95",https://capitalwholesalediamonds.com/product/0-76-ct-radiant/
444074125,RADIANT,0.93,4,17,5,5,5,0,6.22,6.24,3.83,"1,647.95",https://capitalwholesalediamonds.com/product/0-93-ct-radiant/
57237337,RADIANT,0.94,4,17,5,5,5,0,6.28,6.3,3.77,"1,661.99",https://capitalwholesalediamonds.com/product/0-94-ct-radiant-2/
440020273,RADIANT,0.73,8,16,5,5,5,0,5.65,5.7,3.59,"1,665.50",https://capitalwholesalediamonds.com/product/0-73-ct-radiant-2/
432026874,RADIANT,0.8,6,17,4,5,5,0,5.78,5.82,3.71,"1,690.07",https://capitalwholesalediamonds.com/product/0-8-ct-radiant/
432027175,RADIANT,0.8,6,17,4,5,5,0,5.8,5.82,3.78,"1,690.07",https://capitalwholesalediamonds.com/product/0-8-ct-radiant-4/
445044983,RADIANT,0.8,6,17,5,5,5,0,5.94,5.99,3.62,"1,690.07",https://capitalwholesalediamonds.com/product/0-8-ct-radiant-5/
440020269,RADIANT,0.9,5,16,5,5,5,0,6.24,6.26,3.7,"1,702.35",https://capitalwholesalediamonds.com/product/0-9-ct-radiant-6/
57237328,RADIANT,0.9,5,16,4,5,5,0,6.08,6.1,3.79,"1,702.35",https://capitalwholesalediamonds.com/product/0-9-ct-radiant-11/
57237329,RADIANT,0.9,5,16,4,5,4,0,6.13,6.16,3.73,"1,702.35",https://capitalwholesalediamonds.com/product/0-9-ct-radiant-12/
 LG200399,RADIANT,0.7,8,17,4,4,4,0,6.04,4.36,2.82,"1,721.39",https://capitalwholesalediamonds.com/product/0-70-ct-radiant-2/
436053281,RADIANT,0.82,6,17,5,5,5,0,6.05,6.08,3.7,"1,723.41",https://capitalwholesalediamonds.com/product/0-82-ct-radiant/
200772-239,RADIANT,1,4,4,3,5,4,0,6.36,4.79,3.34,"1,742.30",https://capitalwholesalediamonds.com/product/1-ct-radiant/
201235-123,RADIANT,1,6,8,4,5,5,3,6.33,4.49,3.42,"1,770.90",https://capitalwholesalediamonds.com/product/1-ct-radiant-20/
445044982,RADIANT,0.9,5,17,4,5,4,0,6.03,6.1,3.84,"1,797.12",https://capitalwholesalediamonds.com/product/0-9-ct-radiant-8/
57237326,RADIANT,0.9,5,17,4,5,5,0,6.3,6.32,3.63,"1,797.12",https://capitalwholesalediamonds.com/product/0-9-ct-radiant-9/
57237327,RADIANT,0.9,5,17,4,5,4,0,6.02,6.06,3.91,"1,797.12",https://capitalwholesalediamonds.com/product/0-9-ct-radiant-10/
 LG200398,RADIANT,0.81,7,16,4,4,4,0,5.86,4.73,3.13,"1,798.85",https://capitalwholesalediamonds.com/product/0-81-ct-radiant/
432026856,RADIANT,0.91,5,17,5,5,5,0,6.08,6.14,3.86,"1,812.92",https://capitalwholesalediamonds.com/product/0-91-ct-radiant-4/
432026870,RADIANT,0.91,5,17,5,5,5,0,6.17,6.2,3.8,"1,812.92",https://capitalwholesalediamonds.com/product/0-91-ct-radiant-6/
440020271,RADIANT,0.91,5,17,5,5,5,0,6.08,6.13,3.86,"1,812.92",https://capitalwholesalediamonds.com/product/0-91-ct-radiant-7/
444074127,RADIANT,0.91,5,17,5,5,5,0,6.26,6.27,3.69,"1,812.92",https://capitalwholesalediamonds.com/product/0-91-ct-radiant-8/
389987637,RADIANT,1.85,5,18,5,5,5,0,7.79,7.86,4.85,"1,897.02",https://capitalwholesalediamonds.com/product/1-85-ct-radiant/
57237339,RADIANT,1.33,3,17,5,5,5,0,6.96,7.01,4.34,"1,926.99",https://capitalwholesalediamonds.com/product/1-33-ct-radiant-3/
210028-384,RADIANT,1.02,6,7,4,5,4,2,6.45,4.92,3.43,"1,974.15",https://capitalwholesalediamonds.com/product/1-02-ct-radiant-9/
436073080,RADIANT,1,4,16,5,5,5,0,6.42,6.46,3.9,"1,983.15",https://capitalwholesalediamonds.com/product/1-ct-radiant-41/
432026895,RADIANT,0.9,6,17,4,5,5,0,6.05,6.11,3.83,"2,009.48",https://capitalwholesalediamonds.com/product/0-9-ct-radiant-3/
57237334,RADIANT,0.9,6,17,4,5,4,0,6.19,6.23,3.74,"2,009.48",https://capitalwholesalediamonds.com/product/0-9-ct-radiant-17/
